#wl	elem	excit	loggf	vdwaals	Do
5501.879	606.0	0.89	0.53	0.0	6.25
5501.883	606.0	0.9	-1.134	0.0	6.25
5502.088	24.1	4.17	-1.869	-7.845	 
5502.6474	26.0	5.033	-3.279	-7.14	 
5502.761	26.0	3.695	-5.773	-7.64	 
5502.938	14.0	5.62	-2.298	-6.86	 
5502.9755	22.0	2.117	-4.671	-7.78	 
5503.061	58.0	1.456	-2.18	-7.55	 
5503.0709	26.0	4.386	-1.317	-7.51	 
5503.2117	24.1	4.143	-2.310	-7.847	 
5503.4438	26.0	5.106	-3.279	-7.31	 
5503.4653	39.0	1.967	0.418	-7.63	 
5503.4841	58.0	1.520	-2.170	0.0
5503.5030	74.0	1.857	-1.880	0.0	 
5503.5995	23.0	0.017	-4.173	-7.78	 
5503.7013	24.0	3.556	-3.668	-7.79	 
5503.731	24.0	3.888	-2.688	-7.73	 
5503.895	22.0	2.578	-0.050	0.0	 
5503.9046	22.0	3.062	-1.26	-7.55	 
5504.088	28.0	3.834	-1.7	0.0	 
5504.2043	25.0	3.133	-2.54	0.0	 
5504.3616	26.0	3.573	-3.208	-7.82	 
5504.4035	26.0	4.956	-2.45	-7.3	 
5504.4777	22.0	2.103	-4.915	-7.77	 
5504.542	26.0	4.733	-3.892	-7.34	 
5505.733	26.0	4.47	-2.464	0.0	 
5505.866	25.0	2.18	-2.527	-7.74	 
5505.881	26.0	4.42	-1.298	-7.51	 
5506.155	606.0	1.02	0.402	0.0	6.25
5506.199	26.1	10.52	1.493	-7.59	 
5506.493	42.0	1.33	0.06	0.0	 
5506.784	26.0	0.99	-2.752	-7.753	 
5506.965	16.0	7.87	-4.329	-6.79	 
5507.735	23.0	1.71	-1.222	-7.78	 
5507.757	23.0	2.36	-0.274	-7.63	 
5514.215	21.0	1.85	0.175	-7.72	 
5514.349	22.0	1.43	-0.566	-7.71	 
5514.4191	24.1	6.484	-2.904	0.0	 
5514.5335	22.0	1.443	-0.5	-7.71	 
5514.793	28.0	3.85	-1.99	-7.234	 
5514.884	606.0	0.6	-0.041	0.0	6.25
5514.91	606.0	0.78	-3.526	0.0	6.25
5514.94	606.0	0.96	-0.611	0.0	6.25
5514.947	606.0	0.6	-3.054	0.0	6.25
5514.981	606.0	0.63	0.167	0.0	6.25
5515.079	23.0	0.07	-3.165	-7.78	 
5515.082	606.0	0.6	-7.085	0.0	6.25
5515.343	606.0	1.12	0.478	0.0	6.25
5515.609	606.0	0.76	0.622	0.0	6.25
5515.63	606.0	1.19	-7.14	0.0	6.25
5516.014	58.1	1.4	-0.156	0.0	 
5516.016	68.0	1.43	1.792	0.0	 
5516.295	26.0	4.1	-2.74	-7.54	 
5516.478	606.0	0.69	-2.354	0.0	6.25
5516.482	26.0	3.55	-3.037	-7.78	 
5516.699	25.0	2.18	-2.551	-7.54	 
