#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5413.600	25.0	3.86	-1.92	0.00	nan	20.00
5413.605	25.0	3.86	-1.49	0.00	nan	20.00
5413.639	25.0	3.86	-1.38	0.00	nan	20.00
5413.649	25.0	3.86	-1.38	0.00	nan	20.00
5413.697	25.0	3.86	-1.02	0.00	nan	20.00
5413.702	25.0	3.86	-1.48	0.00	nan	20.00
5413.699	27.0	4.06	-0.649	-7.510	nan	3.17
5414.040	606.0	1.01	-0.204	0.000	6.25	0.77
5414.070	26.1	3.22	-3.592	-7.878	nan	25.93
5414.106	58.0	0.55	-0.622	0.000	nan	0.00
5414.861	39.0	1.85	0.381	-7.520	nan	1.60
5415.199	26.0	4.39	0.642	-7.182	nan	168.34
5415.249	23.0	2.37	-1.595	-7.623	nan	0.09
5415.303	60.0	0.29	-0.950	0.000	nan	0.00
5415.510	26.0	4.97	-3.611	-7.350	nan	25.39
5415.510	112.0	0.69	-1.378	0.000	1.34	6.92
5415.538	26.0	5.10	-2.987	-7.170	nan	56.16
5417.033	26.0	4.42	-1.409	-7.166	nan	34.80
5417.034	112.0	0.64	-0.943	0.000	1.34	0.10
5417.036	39.0	1.99	0.444	-7.770	nan	0.00
5418.000	40.1	1.76	-1.434	0	nan	4.4
5418.124	14.0	5.62	-2.050	-6.860	nan	5.70
5418.259	26.0	4.99	-2.334	-7.400	nan	46.40
5418.768	22.1	1.58	-2.081	-7.850	nan	48.50
5418.848	112.0	0.57	0.466	0.000	1.34	0.00
5418.856	44.0	1.12	-0.523	0.000	nan	0.00
5419.057	24.0	4.49	-0.842	-7.490	nan	0.05
5419.100	112.0	0.82	-1.014	0.000	1.34	0.06
5419.158	26.0	4.19	-3.308	-7.720	nan	1.23
5419.191	22.0	2.35	-1.113	-7.710	nan	2.75
5419.362	607.0	0.66	-1.847	0.000	7.63	0.39
5419.376	112.0	0.57	-0.309	0.000	1.34	0.50
5419.391	23.0	1.93	-0.867	-7.810	nan	1.22
5419.866	64.1	1.31	0.114	0.000	nan	2.80
5423.322	66.0	0.00	0.407	0.000	nan	2.20
5423.428	58.0	0.55	-0.709	0.000	nan	0.00
5423.442	822.0	1.43	0.808	0.000	6.94	0.00
5423.464	606.0	0.97	-3.574	0.000	6.25	0.00
5423.467	606.0	1.61	-2.959	0.000	6.25	0.00
5423.467	16.0	9.71	-2.991	0.000	nan	0.00
5423.737	112.0	0.62	-1.183	0.000	1.34	0.06
5423.738	26.0	3.69	-2.836	-7.820	nan	9.69
5423.751	606.0	0.97	-0.252	0.000	6.25	0.75
5423.796	606.0	1.06	0.250	0.000	6.25	1.93
5423.802	606.0	0.97	0.089	0.000	6.25	1.64
5423.934	112.0	0.77	-0.707	0.000	1.34	0.13
5423.937	606.0	0.97	0.238	0.000	6.25	2.30
5423.959	606.0	1.06	-0.106	0.000	6.25	0.86
5424.060	23.0	2.36	-0.202	-7.760	nan	2.13
5424.071	26.0	4.32	-0.001	-6.624	nan	130.31
5424.142	26.0	4.08	-2.422	-7.800	nan	10.48
5424.536	28.0	4.17	-1.335	-7.560	nan	0.00
5424.607	58.1	0.79	-1.939	0.000	nan	0.12
5424.645	28.0	1.95	-2.688	-7.774	nan	40.36
5424.669	606.0	0.95	-0.192	0.000	6.25	0.91
5425.220	112.0	0.68	0.393	0.000	1.34	0.00
5425.234	606.0	1.00	-0.338	0.000	6.25	0.58
5425.248	26.1	3.20	-3.236	-7.886	nan	40.84
5425.257	112.0	0.76	-0.932	0.000	1.34	0.08
5426.250	22.0	0.02	-2.998	-7.734	nan	6.80
5433.382	606.0	0.93	0.134	0.000	6.25	1.99
5433.397	25.0	5.37	-0.627	-7.610	nan	0.88
5433.402	606.0	0.97	-0.019	0.000	6.25	1.29
5433.440	606.0	0.93	-0.187	0.000	6.25	0.96
5433.577	606.0	0.93	-0.267	0.0	6.25	0.8
5433.599	606.0	1.03	-1.066	0.0	6.25	0.1
5433.604	26.0	5.37	-3.258	-7.51	nan	0.1
5433.643	26.0	5.07	-1.833	-7.33	nan	4.9
5434.155	23.0	2.37	-0.752	-7.720	nan	0.60
5434.182	23.0	1.85	-3.381	-7.800	nan	0.00
5434.524	26.0	1.01	-2.212	-7.749	nan	197.30
5435.026	26.0	5.07	-1.983	-7.320	nan	3.69
5435.042	74.0	0.21	-3.220	0.000	nan	0.01
5435.170	26.0	4.43	-2.129	-7.160	nan	9.78
5435.191	22.0	3.15	-2.550	-7.540	nan	0.02
5435.672	42.0	2.50	-0.737	0.000	nan	0.05
5435.863	28.0	1.99	-2.415	-7.770	nan	48.14
5436.256	24.0	4.41	-1.666	-7.420	nan	0.00
5436.295	26.0	4.39	-1.317	-7.187	nan	40.60
5436.588	26.0	2.28	-3.296	-7.579	nan	42.00
5436.716	22.0	0.90	-2.344	-7.727	nan	4.20
5436.996	27.0	4.11	-0.963	-7.480	nan	1.41
5437.055	606.0	0.96	-0.677	0.000	6.25	0.29
5437.083	26.0	2.45	-4.082	-7.730	nan	4.30
5437.195	26.0	4.31	-1.951	-7.520	nan	16.94
5437.205	606.0	0.96	0.309	0.000	6.25	2.76
5438.036	26.0	4.59	-2.577	-7.792	nan	2.70
5444.584	27.0	4.07	0.145	-7.510	nan	15.90
5444.884	112.0	0.68	-0.013	0.000	1.34	0.00
5444.981	606.0	1.46	-0.732	0.000	6.25	0.00
5445.042	26.0	4.39	-0.002	-7.189	nan	117.80
5446.559	112.0	0.67	0.402	0.000	1.34	0.00
5446.582	26.0	4.42	-0.399	-7.510	nan	81.34
5446.615	22.0	0.02	-3.286	-7.734	nan	3.66
5446.924	26.0	0.99	-1.914	-7.753	nan	200.0
5447.233	28.0	3.84	-1.871	-7.510	nan	7.30
5447.385	21.0	1.85	-1.579	-7.690	nan	0.06
5447.485	24.0	4.54	-0.579	-7.750	nan	2.43
